StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,MostRecentDisturbanceTGID,HistoricalDisturbanceTGID,ReturnInterval,SpinupDuration,MaxAgeForLastCycle
Puget Lowland,Washington,,Forest: Alder/Maple Group,Fire: High Severity [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Alder/Maple Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Aspen/Birch Group,Fire: High Severity [Type],Fire: High Severity [Type],75,5,1000
Puget Lowland,Washington,,Forest: Aspen/Birch Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],75,5,1000
Puget Lowland,Washington,,Forest: California Mixed Conifer Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: California Mixed Conifer Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Douglas-fir Coastal Group,Fire: High Severity [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Douglas-fir Coastal Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Douglas-fir Inland Group,Fire: High Severity [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Douglas-fir Inland Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Elm/Ash/Cottonwood Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Elm/Ash/Cottonwood Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Exotic Hardwoods Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Exotic Hardwoods Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Exotic Softwoods Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Exotic Softwoods Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Fir/Spruce/Mountain Hemlock Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Fir/Spruce/Mountain Hemlock Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Hemlock/Sitka Spruce Group,Fire: High Severity [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Hemlock/Sitka Spruce Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Loblolly/Shortleaf Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Loblolly/Shortleaf Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Lodgepole Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Lodgepole Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Longleaf/Slash Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Longleaf/Slash Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Maple/Beech/Birch Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Maple/Beech/Birch Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Oak/Gum/Cypress Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Oak/Gum/Cypress Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Oak/Hickory Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Oak/Hickory Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Oak/Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Oak/Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Other Western Hardwoods Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Other Western Hardwoods Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Other Western Softwood Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Other Western Softwood Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Pinyon/Juniper Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Pinyon/Juniper Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Ponderosa Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Ponderosa Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Redwood Group,Fire: High Severity [Type],Fire: High Severity [Type],1000,5,1000
Puget Lowland,Washington,,Forest: Redwood Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],1000,5,1000
Puget Lowland,Washington,,Forest: Spruce/Fir Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Spruce/Fir Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Tanoak/Laurel Group,Fire: High Severity [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Tanoak/Laurel Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Tropical Hardwoods Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Tropical Hardwoods Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Western Larch Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western Larch Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western Oak Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western Oak Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western White Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Western White Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: White/Red/Jack Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: White/Red/Jack Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
