"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
31,1,1.13011,0.81584,2.3558,-0.28689,0.45307,2.3673,0,0,1,1,-1.91865,-0.000266,-0.00174,-2.73571,-0.0025689,0.14149,-1.72988,6.3e-05,-0.11892,0.2107,509.04,0.72783,0.79592,0.10654,0.10095,0.05958,0.03376,0.10605,0.06938
31,2,0.9097,0.86143,100,-1.44095,0.93144,1.384,0,0,1,1,-5.33844,-0.0030037,0.7799,-1.18853,-0.0021472,-0.13557,-1.66474,0.001163,-0.25208,82.955,450.43,0.75227,0.79002,0.09248,0.11612,0.10454,0.03991,0.05072,0.05395
31,3,0.57069,0.93811,20.5199,-0.93723,0.77411,2.6657,0,0,1,1,-1.51524,-0.0001543,-0.00431,-7.61229,-0.0033172,1.14965,-4.44531,-0.003085,0.33415,28.2426,451.74,0.78402,0.74167,0.16897,0.14805,0.01982,0.09357,0.02719,0.01672
32,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
32,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
32,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
33,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
33,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
33,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
34,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
34,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
34,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
35,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
35,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
35,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
36,1,0.77203,0.89281,14.863,-0.65914,0.46684,5.4293,0,0,1,1,-1.72516,0.0007567,-0.093,-3.39209,0.0023399,0.16231,-2.33819,0.001778,-0.05651,4.3108,589,0.78139,0.58083,0.11349,0.08921,0.03814,0.2186,0.06698,0.11136
36,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
36,3,0.22956,1.10396,31.6148,-0.92957,0.50357,4.8645,0,0,1,1,-1.83978,-0.0007772,0.09672,-3.67419,-0.003197,0.52432,-3.34046,-0.003426,0.1832,20.3514,362.8,0.71277,0.70499,0.15236,0.14958,0.09229,0.12416,0.04257,0.02127
37,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
37,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
37,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
38,1,1.105698304,0.8175878826,99.99999999,-1.383074095,1.0604435499,9.0994871393,0.9521753103,-0.014307192,0.1159415501,1.0203628167,-1.538662,-0.0002032,-0.0832246,-2.58313,-0.0022193,0.1020842,-1.60939,-5.15e-05,-0.1455833,0.4143301502,753.09896287,0.6980434582,0.8282928056,0.1301860692,0.0878673398,0.0625932267,0.0231451563,0.109177246,0.0606946983
38,2,1.1305141556,0.8262183722,24.303412027,-0.835194597,0.7039096792,5.7107706064,1.4380503481,-1.498029239,1.0002365067,1.0359147942,-1.543631,-8.44e-07,-0.047569,-0.8109695,0.0005201,-0.3281649,-1.62745,-0.0003321,-0.1919859,0.3016295102,1054.2821665,0.6261646461,0.7887869872,0.1235488131,0.1208609743,0.161002035,0.0616872114,0.0892845058,0.0286648271
38,3,1.5212865722,0.7802027732,60.221918005,-1.084403957,0.8255588113,6.8345313756,4456.1819793,-2.861001465,1.0000330626,1.0563641425,-1.583971,-0.0002196,0.0054746,-1.78569,-0.0005561,-0.0737564,-2.02195,-0.0010316,-0.2342602,0.2423893632,997.9505813,0.6919565901,0.8075390368,0.1432468244,0.1382002576,0.1026680014,0.0466947908,0.062128584,0.0075659147
39,1,0.9377920514,0.8640928264,18.805277791,-0.743454591,0.6105335779,4.9944912742,161.84395144,-2.428847013,1.0007408752,1.0293425539,-1.61138,0.0002381,-0.1100975,-0.5391732,-0.0001415,-0.2631933,-0.3401128,-0.0003326,-0.3792267,1.551866345,762.47661989,0.5357296878,0.7994999568,0.0869787164,0.0920896516,0.1904708833,0.0728571967,0.1868207125,0.0355531949
39,2,0.7993777777,0.8945661842,14.316853339,-0.67830707,0.5706400983,4.1800412748,9.289468674,-1.629345506,0.9983535239,1.0237150075,-1.242941,-5.74e-05,-0.0902617,-1.584864,-0.0009941,-0.0141675,-1.175034,-0.0005444,-0.2825561,2.3155078738,623.16891443,0.6189449144,0.7740207807,0.1492051051,0.1204637555,0.1230581683,0.0779419256,0.1087918122,0.0275735382
39,3,1.000204149,0.8622399461,90.20388218,-1.342104756,0.950442828,6.5042931367,5.6888383e+33,-1.197345e+30,1.0037516673,1.0037516673,-1.096381,-0.0002401,-0.0476338,-1.997429,-0.001401,0.0534837,-2.466752,-0.0017312,-0.1475492,0.0982862974,689.20102504,0.6562271606,0.7749382301,0.2028590702,0.1606565024,0.0971309578,0.0568101374,0.0437828114,0.0075951301
40,1,0.5781543535,0.9468176832,48.336587866,-0.979698982,0.765238393,9.2547778361,314.11706147,-6.761034933,1.0000427695,1.0000427705,-1.512368,-0.0003574,-0.0825214,-0.909709,-0.0013012,-0.1193355,-0.7870781,-0.0011512,-0.238584,0.1044170628,686.41906881,0.5456923546,0.8200324711,0.1051230317,0.0824393837,0.1808523498,0.0619397359,0.168332264,0.0355884094
40,2,0.6934807705,0.9183261379,99.99999999,-1.26819841,1.0447762776,10,1.0064803e+24,-2.291458e+20,1.0066154258,1.0066154258,-1.396316,-0.0002668,-0.0867728,-1.459096,-0.0011696,-0.0556533,-1.567781,-0.0008941,-0.195097,0.3308880734,662.26031009,0.6344739142,0.8163240109,0.1357990289,0.0963035459,0.1343134674,0.0608987256,0.0954135896,0.0264737175
40,3,1.0177222215,0.8587363547,15.159634777,-0.610738078,0.4051212448,2.8263148814,0.3618776599,-0.007372511,0.6518607253,1.0020043567,-1.540176,-0.0007619,-0.0069053,-2.068193,-0.0008818,0.0451433,-2.58355,-0.0009127,-0.1350153,0.2679633214,459.37201005,0.7100251404,0.7826660001,0.1504222092,0.1133104308,0.0967260904,0.0870645355,0.0428265599,0.0169590336
41,1,0.4870992799,0.9673438357,26.488603334,-0.959795819,0.9448272419,7.1372963755,0.3927163021,-0.533064504,0.9857284007,1.054324923,-1.44008,2.65e-05,-0.0690385,0.179227,-0.0001234,-0.2740652,0.6298863,-8.05e-05,-0.4538252,0.4110892199,3462.6745858,0.3525569275,0.7894864668,0.0743344805,0.1167826156,0.2655074442,0.0659795314,0.3076011478,0.0277513862
41,2,0.6110704944,0.9432854005,23.114718841,-1.0456719,0.9651805584,4.6816978318,1.085609348,-1.166964976,0.9987127541,1.0122768342,-1.5367,-0.0001896,-0.0402997,-0.309286,-7.27e-06,-0.2026228,-0.4081156,-0.0004205,-0.3443019,0.7562135122,1760.7566127,0.4809852487,0.7707489412,0.0963953023,0.0878410736,0.2476207875,0.1227807386,0.1749986614,0.0186292466
41,3,0.5399014788,0.9719503545,46.36424452,-1.382478263,1.0125693697,8.3697267001,0.9270636562,-0.001761116,0.0834415398,1.0063446728,-1.299148,-0.0004853,-0.0653684,-1.551819,-0.0005523,0.0277346,-2.103599,-0.0013983,-0.1297362,0.9204350392,1182.7919823,0.6402325718,0.8063250261,0.1553972909,0.077986163,0.142426722,0.1081769978,0.0619434154,0.0075118132
42,1,0.8087939662,0.8887560521,18.914961665,-0.957503553,0.9503155003,4.0775273435,13.995221038,-1.826551873,1.0002015565,1.0373766525,-1.401252,0.0002992,-0.1231799,-0.5623339,0.0001649,-0.2080012,-0.5551928,-0.0002592,-0.2865312,0.1897941541,2571.7093279,0.5092288611,0.7127139278,0.1023975436,0.1439974441,0.2060421184,0.1211614351,0.1823314769,0.022127193
42,2,0.743026854,0.9183563232,16.39968344,-0.891859456,0.9170796285,3.7550208485,29.673753746,-1.954763072,0.9992881208,1.0483686016,-1.474951,-0.000233,-0.0586672,-0.492813,0.0005767,-0.265889,-0.6497608,-0.0001868,-0.3536939,0.8263890517,1197.3464506,0.5351238052,0.7501582244,0.110383389,0.0856510828,0.2047028916,0.1386964876,0.1497899142,0.0254942051
42,3,0.7952757161,0.9177557558,33.763047403,-1.042703492,0.8482679603,6.7773450695,226.88097093,-9.852782709,1.0021382343,1.0021382343,-1.539834,-0.0007465,0.0061841,-1.033298,0.0008469,-0.199313,-1.699233,-0.0008701,-0.2581238,0.4783059466,1182.2396278,0.6297041984,0.7466067577,0.1363979914,0.0691959523,0.1597110944,0.1763491165,0.0741867159,0.0078481736
44,1,0.54972,0.9658,27.319,-1.11712,0.95472,5.6448,1,0,0,1,-1.92333,-0.0006819,0.01506,-2.19257,-0.0027955,0.17104,-2.03955,-0.002547,0.054,1.4854,376.1,0.6913,0.76909,0.10379,0.0951,0.10581,0.08291,0.09911,0.05291
44,2,0.54953,0.97404,18.9354,-1.22976,1.10751,9.3305,1,0,0,1,-1.63452,-0.0032499,0.0726,-2.74216,-0.0099977,0.51886,-2.10534,-0.007859,0.11516,1.811,216.8,0.64772,0.76592,0.14437,0.10931,0.1109,0.09315,0.09701,0.03163
44,3,0.60465,0.96891,42.5828,-1.08755,0.69053,4.8609,1,0,0,1,-2.20679,-0.0039694,0.21957,-2.98073,-0.0065755,0.41607,-3.02627,-0.005818,0.10072,14.1012,203.62,0.70579,0.76535,0.14036,0.12126,0.11141,0.09395,0.04244,0.01944
45,1,0.54972,0.9658,27.319,-1.11712,0.95472,5.6448,1,0,0,1,-1.92333,-0.0006819,0.01506,-2.19257,-0.0027955,0.17104,-2.03955,-0.002547,0.054,1.4854,376.1,0.6913,0.76909,0.10379,0.0951,0.10581,0.08291,0.09911,0.05291
45,2,0.54953,0.97404,18.9354,-1.22976,1.10751,9.3305,1,0,0,1,-1.63452,-0.0032499,0.0726,-2.74216,-0.0099977,0.51886,-2.10534,-0.007859,0.11516,1.811,216.8,0.64772,0.76592,0.14437,0.10931,0.1109,0.09315,0.09701,0.03163
45,3,0.60465,0.96891,42.5828,-1.08755,0.69053,4.8609,1,0,0,1,-2.20679,-0.0039694,0.21957,-2.98073,-0.0065755,0.41607,-3.02627,-0.005818,0.10072,14.1012,203.62,0.70579,0.76535,0.14036,0.12126,0.11141,0.09395,0.04244,0.01944
46,1,0.54972,0.9658,27.319,-1.11712,0.95472,5.6448,1,0,0,1,-1.92333,-0.0006819,0.01506,-2.19257,-0.0027955,0.17104,-2.03955,-0.002547,0.054,1.4854,376.1,0.6913,0.76909,0.10379,0.0951,0.10581,0.08291,0.09911,0.05291
46,2,0.54953,0.97404,18.9354,-1.22976,1.10751,9.3305,1,0,0,1,-1.63452,-0.0032499,0.0726,-2.74216,-0.0099977,0.51886,-2.10534,-0.007859,0.11516,1.811,216.8,0.64772,0.76592,0.14437,0.10931,0.1109,0.09315,0.09701,0.03163
46,3,0.60465,0.96891,42.5828,-1.08755,0.69053,4.8609,1,0,0,1,-2.20679,-0.0039694,0.21957,-2.98073,-0.0065755,0.41607,-3.02627,-0.005818,0.10072,14.1012,203.62,0.70579,0.76535,0.14036,0.12126,0.11141,0.09395,0.04244,0.01944
47,1,0.54972,0.9658,27.319,-1.11712,0.95472,5.6448,1,0,0,1,-1.92333,-0.0006819,0.01506,-2.19257,-0.0027955,0.17104,-2.03955,-0.002547,0.054,1.4854,376.1,0.6913,0.76909,0.10379,0.0951,0.10581,0.08291,0.09911,0.05291
47,2,0.54953,0.97404,18.9354,-1.22976,1.10751,9.3305,1,0,0,1,-1.63452,-0.0032499,0.0726,-2.74216,-0.0099977,0.51886,-2.10534,-0.007859,0.11516,1.811,216.8,0.64772,0.76592,0.14437,0.10931,0.1109,0.09315,0.09701,0.03163
47,3,0.60465,0.96891,42.5828,-1.08755,0.69053,4.8609,1,0,0,1,-2.20679,-0.0039694,0.21957,-2.98073,-0.0065755,0.41607,-3.02627,-0.005818,0.10072,14.1012,203.62,0.70579,0.76535,0.14036,0.12126,0.11141,0.09395,0.04244,0.01944
50,1,1.13011,0.81584,2.3558,-0.28689,0.45307,2.3673,0,0,1,1,-1.91865,-0.000266,-0.00174,-2.73571,-0.0025689,0.14149,-1.72988,6.3e-05,-0.11892,0.2107,509.04,0.72783,0.79592,0.10654,0.10095,0.05958,0.03376,0.10605,0.06938
50,2,0.9097,0.86143,100,-1.44095,0.93144,1.384,0,0,1,1,-5.33844,-0.0030037,0.7799,-1.18853,-0.0021472,-0.13557,-1.66474,0.001163,-0.25208,82.955,450.43,0.75227,0.79002,0.09248,0.11612,0.10454,0.03991,0.05072,0.05395
50,3,0.57069,0.93811,20.5199,-0.93723,0.77411,2.6657,0,0,1,1,-1.51524,-0.0001543,-0.00431,-7.61229,-0.0033172,1.14965,-4.44531,-0.003085,0.33415,28.2426,451.74,0.78402,0.74167,0.16897,0.14805,0.01982,0.09357,0.02719,0.01672
51,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
51,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
51,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
52,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
52,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
52,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
53,1,1.13011,0.81584,2.3558,-0.28689,0.45307,2.3673,1,0,0,1,-1.91865,-0.000266,-0.00174,-2.73571,-0.0025689,0.14149,-1.72988,6.3e-05,-0.11892,0.2107,509.04,0.72783,0.79592,0.10654,0.10095,0.05958,0.03376,0.10605,0.06938
53,2,0.9097,0.86143,100,-1.44095,0.93144,1.384,1,0,0,1,-5.33844,-0.0030037,0.7799,-1.18853,-0.0021472,-0.13557,-1.66474,0.001163,-0.25208,82.955,450.43,0.75227,0.79002,0.09248,0.11612,0.10454,0.03991,0.05072,0.05395
53,3,0.57069,0.93811,20.5199,-0.93723,0.77411,2.6657,1,0,0,1,-1.51524,-0.0001543,-0.00431,-7.61229,-0.0033172,1.14965,-4.44531,-0.003085,0.33415,28.2426,451.74,0.78402,0.74167,0.16897,0.14805,0.01982,0.09357,0.02719,0.01672
54,1,0.54972,0.9658,27.319,-1.11712,0.95472,5.6448,1,0,0,1,-1.92333,-0.0006819,0.01506,-2.19257,-0.0027955,0.17104,-2.03955,-0.002547,0.054,1.4854,376.1,0.6913,0.76909,0.10379,0.0951,0.10581,0.08291,0.09911,0.05291
54,2,0.54953,0.97404,18.9354,-1.22976,1.10751,9.3305,1,0,0,1,-1.63452,-0.0032499,0.0726,-2.74216,-0.0099977,0.51886,-2.10534,-0.007859,0.11516,1.811,216.8,0.64772,0.76592,0.14437,0.10931,0.1109,0.09315,0.09701,0.03163
54,3,0.60465,0.96891,42.5828,-1.08755,0.69053,4.8609,1,0,0,1,-2.20679,-0.0039694,0.21957,-2.98073,-0.0065755,0.41607,-3.02627,-0.005818,0.10072,14.1012,203.62,0.70579,0.76535,0.14036,0.12126,0.11141,0.09395,0.04244,0.01944
58,1,0.89342,0.84625,7.778,-1.0055,0.9632,2.4178,1,0,0,1,-1.69756,-0.0004413,-0.01629,-1.11363,-0.0007713,-0.05521,-0.94761,-0.001812,-0.07405,0.24,247.27,0.54926,0.66031,0.0979,0.09908,0.16457,0.13203,0.18827,0.10858
58,2,0.63418,0.92136,12.2503,-1.64107,1.01875,1.8536,1,0,0,1,-1.51952,0.000314,-0.05814,-0.99441,0.0002441,-0.16065,-0.16035,0.000808,-0.47408,0.3165,529.19,0.53552,0.71463,0.10634,0.12816,0.15149,0.10968,0.20665,0.04754
58,3,0.59376,0.94695,11.7918,-1.40923,0.99677,2.1063,1,0,0,1,-1.23019,0.000212,-0.09046,-1.15099,-9.56e-05,-0.12399,-0.29255,0.000957,-0.59748,0.3637,703.92,0.56129,0.74216,0.14092,0.13905,0.14417,0.09727,0.15362,0.02153
59,1,0.89342,0.84625,7.778,-1.0055,0.9632,2.4178,1,0,0,1,-1.69756,-0.0004413,-0.01629,-1.11363,-0.0007713,-0.05521,-0.94761,-0.001812,-0.07405,0.24,247.27,0.54926,0.66031,0.0979,0.09908,0.16457,0.13203,0.18827,0.10858
59,2,0.63418,0.92136,12.2503,-1.64107,1.01875,1.8536,1,0,0,1,-1.51952,0.000314,-0.05814,-0.99441,0.0002441,-0.16065,-0.16035,0.000808,-0.47408,0.3165,529.19,0.53552,0.71463,0.10634,0.12816,0.15149,0.10968,0.20665,0.04754
59,3,0.59376,0.94695,11.7918,-1.40923,0.99677,2.1063,1,0,0,1,-1.23019,0.000212,-0.09046,-1.15099,-9.56e-05,-0.12399,-0.29255,0.000957,-0.59748,0.3637,703.92,0.56129,0.74216,0.14092,0.13905,0.14417,0.09727,0.15362,0.02153
